doc_id,nppes_provider_city,nppes_provider_state,number_of_hcpcs,total_services,total_medicare_allowed_amt,number_of_drug_hcpcs,total_drug_services,total_drug_medicare_allowed_amt,number_of_med_hcpcs,total_med_services,total_med_medicare_allowed_amt,beneficiary_average_risk_score
IP1508928,NEW YORK,NY,26,628,88763.71,0,0,0,26,628,88763.71,1.6714
GD8048219,ALBANY,NY,47,35679,314268.18,8,35018,249175.23,39,661,65092.95,1.671
UT7203834,BALTIMORE,MD,16,1119,166864.91,0,0,0,16,1119,166864.91,1.4709
RM1885346,PHILADELPHIA,PA,22,502,97699.59,0,0,0,22,502,97699.59,1.9504
IQ2814047,MEMPHIS,TN,27,454,41006.45,0,0,0,27,454,41006.45,1.3812
UD6365332,ORINDA,CA,8,726,65259.91,0,0,0,8,726,65259.91,1.2881
BW2216448,MINNEAPOLIS,MN,24,1828,223274.11,0,0,0,24,1828,223274.11,1.8573
EA9086875,HOPEWELL,VA,35,732,68230.93,0,0,0,35,732,68230.93,1.8625
XS1362257,WASHINGTON,DC,22,6844,74347.07,2,6522,35888.37,20,322,38458.7,1.7324
NY6455603,FARMINGTON,CT,24,525,47675.21,NA,NA,NA,NA,NA,NA,1.7955
VR9261421,NEW YORK,NY,12,302,46016.36,0,0,0,12,302,46016.36,2.5264
JO1503547,RENO,NV,6,37,3548.44,0,0,0,6,37,3548.44,1.0424
PR2740705,NORFOLK,NE,22,11246,233232.66,5,6133,6604.41,17,5113,226628.25,1.1473
UJ0163752,HOUSTON,TX,21,699,76510.42,0,0,0,21,699,76510.42,2.4969
MM9157596,BATON ROUGE,LA,31,832,107546.32,NA,NA,NA,NA,NA,NA,1.5237
LA3551489,CHARLOTTESVILLE,VA,28,631,48902.08,0,0,0,28,631,48902.08,1.4081
AI3802006,MORRISTOWN,NJ,29,2293.6,297785.76,0,0,0,29,2293.6,297785.76,1.7001
JJ1182454,KISSIMMEE,FL,6,269,18723.73,0,0,0,6,269,18723.73,1.3689
SI3631967,SMYRNA,TN,19,568,63505.38,NA,NA,NA,NA,NA,NA,1.4145
CO2187383,SALT LAKE CITY,UT,7,94,10644.33,0,0,0,7,94,10644.33,1.6339
NJ5484867,NEW HAVEN,CT,7,46,5732.12,0,0,0,7,46,5732.12,1.0086
EG3494644,KIRKLAND,WA,15,783,71341.89,0,0,0,15,783,71341.89,1.5983
WZ8805010,CORTLANDT MANOR,NY,18,472,60504.73,0,0,0,18,472,60504.73,2.0507
TO2664202,BALTIMORE,MD,10,65,7419.41,0,0,0,10,65,7419.41,1.471
JV0830716,WASHINGTON,DC,30,30443,327455.93,4,29424,180795.84,26,1019,146660.09,1.7474
II4102473,MADISON,WI,28,584,36916.75,NA,NA,NA,NA,NA,NA,1.5193
WY7270805,CHESTERFIELD,MO,29,6065,175270.25,1,4700,25859.26,28,1365,149410.99,1.4143
BG2819503,CINCINNATI,OH,13,1218,103484.73,NA,NA,NA,NA,NA,NA,2.1057
LA3678349,MINEOLA,NY,26,18733,276009.87,3,17450,97527.8,23,1283,178482.07,1.7463
GA2227941,SAN DIEGO,CA,8,788,134837.56,0,0,0,8,788,134837.56,1.6305
XX0148914,PHILADELPHIA,PA,3,13,2597.97,0,0,0,3,13,2597.97,1.4232
NI6386392,CHARLOTTESVILLE,VA,29,763,76219.78,0,0,0,29,763,76219.78,1.2945
SZ0144236,DETROIT,MI,33,907,131386.86,0,0,0,33,907,131386.86,2.9379
ZK3037424,BUFFALO,NY,34,2439,66255.15,NA,NA,NA,NA,NA,NA,1.8986
MB3494535,NEW YORK,NY,7,52,4513.23,0,0,0,7,52,4513.23,3.4241
TS5682734,BOONE,NC,23,2916,140741.58,NA,NA,NA,NA,NA,NA,1.3111
MB9835941,METAIRIE,LA,8,164,17788.36,0,0,0,8,164,17788.36,1.2414
FR7536412,KALAMAZOO,MI,18,149,21213.86,0,0,0,18,149,21213.86,1.3168
HT0417980,MUNSTER,IN,47,2134,193243.12,NA,NA,NA,NA,NA,NA,1.7923
DW9550439,GREENSBORO,NC,23,1619,32055.04,3,1428,7774.54,20,191,24280.5,1.3811
QP9039292,CLIFTON,NJ,36,1772,241155.55,0,0,0,36,1772,241155.55,1.8928
EB9765137,LEXINGTON,KY,17,89,6496.86,0,0,0,17,89,6496.86,1.5103
ZS1993697,MOOSIC,PA,23,856,102819.13,0,0,0,23,856,102819.13,1.6299
AK1263969,PARSONS,KS,20,1700,173609.99,0,0,0,20,1700,173609.99,1.2605
OR5707067,NORTH KANSAS CITY,MO,12,866,94670.63,0,0,0,12,866,94670.63,1.2988
NV2991419,LUMBERTON,NC,16,2433,300457.74,0,0,0,16,2433,300457.74,1.8594
TM5372164,MIAMI BEACH,FL,38,2271,365965.98,0,0,0,38,2271,365965.98,2.0816
WM4165719,HUMBLE,TX,13,501,129715.13,NA,NA,NA,NA,NA,NA,1.4363
XY5409785,SHERMAN,TX,38,3641,483416.26,1,195,385.6,37,3446,483030.66,1.8358
WE9506972,SAN ANTONIO,TX,27,556,54148.7,4,27,328.95,23,529,53819.75,1.7324
BI7403536,SIOUX FALLS,SD,70,46477,512384.23,3,43860,241979.2,67,2617,270405.03,1.3408
QY4438091,STATEN ISLAND,NY,17,1046,181333.99,0,0,0,17,1046,181333.99,1.9397
KP1893539,BIRMINGHAM,AL,6,73,6077.71,0,0,0,6,73,6077.71,1.2888
LD2546569,BURLINGTON,VT,10,417,33053.75,0,0,0,10,417,33053.75,1.2638
CE3397027,ANN ARBOR,MI,7,246,27222.96,0,0,0,7,246,27222.96,1.2556
LQ2688145,NEW YORK,NY,31,836,130003.41,NA,NA,NA,NA,NA,NA,1.5842
VS5109538,SAN JOSE,CA,36,4128,364325.5,NA,NA,NA,NA,NA,NA,1.6256
UK0725981,LOS ANGELES,CA,13,137,18524.68,0,0,0,13,137,18524.68,2.0579
NS0040611,ANN ARBOR,MI,15,87,10291.95,0,0,0,15,87,10291.95,1.8081
CH7267370,CLEVELAND,OH,9,219,17413.33,0,0,0,9,219,17413.33,1.4191
YY6699264,ANN ARBOR,MI,5,259,31551.9,NA,NA,NA,NA,NA,NA,1.1085
MH6761542,CHATTANOOGA,TN,22,5377,198208.98,NA,NA,NA,NA,NA,NA,1.3517
CU8482378,BALTIMORE,MD,5,44,5518.92,0,0,0,5,44,5518.92,1.2115
JR7742033,RALEIGH,NC,63,1677,102813.76,11,752,8349.67,52,925,94464.09,1.2791
CK0975063,LA CROSSE,WI,28,736,70909.21,0,0,0,28,736,70909.21,1.2061
IA9938373,PHILADELPHIA,PA,11,352,68122.97,0,0,0,11,352,68122.97,2.4176
PQ1707130,JACKSON,MS,27,1151,93179.34,NA,NA,NA,NA,NA,NA,1.7715
GT7874245,SAINT CHARLES,MO,15,1013,106553.72,0,0,0,15,1013,106553.72,1.5418
NU1454159,BALTIMORE,MD,22,263,19992.75,0,0,0,22,263,19992.75,1.8357
RT7363733,BOSTON,MA,15,647,84569.47,0,0,0,15,647,84569.47,1.8853
RR0265184,SMYRNA,TN,25,5062,169212.66,0,0,0,25,5062,169212.66,1.1366
CZ3526232,ANNISTON,AL,47,10027,248437.79,6,7424,40050.05,41,2603,208387.74,1.3143
IZ7312414,HAILEY,ID,25,397,37914.41,0,0,0,25,397,37914.41,0.9865
DK0398477,EDINA,MN,36,466,50113.92,0,0,0,36,466,50113.92,1.4902
DQ3324051,CHARLESTON,SC,27,1405,153072.25,0,0,0,27,1405,153072.25,1.9435
LO4702008,NORTH EASTON,MA,15,2970,272226.48,0,0,0,15,2970,272226.48,1.5262
CX1848188,BUFFALO GROVE,IL,18,1528,194060.86,3,31,472,15,1497,193588.86,1.1412
RR5480939,BALTIMORE,MD,20,492,50955.95,0,0,0,20,492,50955.95,1.7608
GG7401142,MOBILE,AL,48,2110,180837.34,NA,NA,NA,NA,NA,NA,1.7899
GZ8262815,PHILADELPHIA,PA,48,7197,181426.15,19,4849,81451.65,29,2348,99974.5,1.3479
NT5885997,MILL VALLEY,CA,5,537,92278.73,0,0,0,5,537,92278.73,1.1666
HN3116127,LUMBERTON,NJ,20,1279,161395.14,0,0,0,20,1279,161395.14,1.4829
LJ8430321,ROSWELL,NM,12,171,23148.69,0,0,0,12,171,23148.69,1.3512
SF8725600,TUCSON,AZ,52,1469,169986.16,0,0,0,52,1469,169986.16,1.4553
SW8309186,BOSTON,MA,22,923,95613.43,0,0,0,22,923,95613.43,1.6317
AQ8446759,SYRACUSE,NY,19,597,62174.92,0,0,0,19,597,62174.92,1.5548
DA3638631,CLEVELAND,OH,10,96,10815.08,0,0,0,10,96,10815.08,1.1426
QH1285127,MECHANICSBURG,PA,21,548,71117.67,0,0,0,21,548,71117.67,1.1448
VW9141063,MACON,GA,64,21259,387426.75,8,19044,134798.38,56,2215,252628.37,1.5257
MP6729219,KNOXVILLE,TN,32,18394,283342.31,3,17373,176521.67,29,1021,106820.64,1.3465
ZF6550216,GLEN RIDGE,NJ,34,2024,161658.73,NA,NA,NA,NA,NA,NA,1.9794
BY5430026,ANCHORAGE,AK,15,405,30511.91,0,0,0,15,405,30511.91,1.2401
YX4093454,KNOXVILLE,TN,31,1000,104406.91,0,0,0,31,1000,104406.91,1.623
DA7351640,CHAPEL HILL,NC,11,938,96648.36,0,0,0,11,938,96648.36,1.0056
CQ5086322,CLEARWATER,FL,46,1519,125717.86,2,26,50.15,44,1493,125667.71,1.3387
BX0522948,COTTONWOOD,AZ,26,2893,92426.32,NA,NA,NA,NA,NA,NA,1.2422
JQ8430417,STRONGSVILLE,OH,3,375,41092.61,0,0,0,3,375,41092.61,1.0564
UG2109768,LAS VEGAS,NV,11,1132,129208.26,0,0,0,11,1132,129208.26,1.3375
HY7610861,LANGHORNE,PA,15,1677,212684.54,0,0,0,15,1677,212684.54,1.328
GT9932077,WINSTON SALEM,NC,6,99,15164.57,0,0,0,6,99,15164.57,2.3322
CC6357522,PORT JEFFERSON,NY,14,1054,131331.94,0,0,0,14,1054,131331.94,1.538
RS1844722,NEW HAVEN,CT,5,42,5757.53,0,0,0,5,42,5757.53,1.6532
KH2470704,MOKENA,IL,33,192,63689.57,0,0,0,33,192,63689.57,1.573
AU6025453,PHOENIX,AZ,29,493,59258.94,0,0,0,29,493,59258.94,1.4301
KQ6828808,MELBOURNE,FL,76,25740,341831.71,3,23661,132441.44,73,2079,209390.27,1.556
HO7785081,BEVERLY HILLS,CA,31,3871,126879.43,2,2901,15915.4,29,970,110964.03,1.7637
DA6157635,LOUISVILLE,KY,36,1100,127787.73,0,0,0,36,1100,127787.73,1.6303
IX0638447,IOWA CITY,IA,34,735,62473.57,0,0,0,34,735,62473.57,1.4788
HG0732849,SANTA BARBARA,CA,37,6394,95490.78,6,5783,31509.46,31,611,63981.32,1.3337
BC1767731,KERRVILLE,TX,5,645,104143.21,0,0,0,5,645,104143.21,0.9875
PJ2601419,SECAUCUS,NJ,36,2131,331912.73,4,297,1134.6,32,1834,330778.13,1.6827
GG4303207,OVERLAND PARK,KS,22,4487,122342.83,2,3611,19835.12,20,876,102507.71,1.6565
EI9397338,PITTSBURGH,PA,22,392,25246,NA,NA,NA,NA,NA,NA,1.703
HT3421780,PITTSBURGH,PA,7,222,14871.93,0,0,0,7,222,14871.93,2.6983
ZP9151439,WICHITA,KS,32,380,41016.06,NA,NA,NA,NA,NA,NA,2.2318
FW4510791,TUCSON,AZ,14,221,31138.2,NA,NA,NA,NA,NA,NA,1.0959
XW1794832,NEW YORK,NY,35,86726,643629.23,2,85650,489516.3,33,1076,154112.93,1.2253
IH3477203,BROOKLINE,MA,11,6605,62244.88,1,6400,35253.5,10,205,26991.38,1.041
WV2657124,CAGUAS,PR,17,302,32852.41,0,0,0,17,302,32852.41,1.3612
FV2251926,EDISON,NJ,36,3998,361098.74,NA,NA,NA,NA,NA,NA,2.161
HP4931542,NEW BRUNSWICK,NJ,11,122,19797.52,0,0,0,11,122,19797.52,2.1122
KS2972783,CODY,WY,50,6378,268440.7,6,4244,27064.86,44,2134,241375.84,1.15
VD3082884,EDISON,NJ,20,307,38060.08,0,0,0,20,307,38060.08,1.6333
UN8111369,BOSTON,MA,21,885,98475.75,0,0,0,21,885,98475.75,1.1149
AV3673253,SAINT LOUIS,MO,19,458,57061.03,0,0,0,19,458,57061.03,1.8133
FY5282824,MCALLEN,TX,21,946,154927.61,0,0,0,21,946,154927.61,1.5002
QJ8919195,BRUNSWICK,ME,16,268,23658.74,0,0,0,16,268,23658.74,1.2921
SH3301699,GALVESTON,TX,27,619,66823.92,0,0,0,27,619,66823.92,1.9787
WM5151789,PHILADELPHIA,PA,17,4826,56644.11,NA,NA,NA,NA,NA,NA,1.6834
LP2996850,BALTIMORE,MD,21,1093,148629.88,0,0,0,21,1093,148629.88,1.9652
WH4527273,ROCHESTER,MN,13,269,32270.79,0,0,0,13,269,32270.79,1.6624
PY7806201,NEWPORT BEACH,CA,31,1784,177821.29,0,0,0,31,1784,177821.29,2.0336
DT3628678,JACKSONVILLE,FL,9,882,59216.78,NA,NA,NA,NA,NA,NA,1.5083
HB2575355,PALM COAST,FL,34,1884,193946.85,0,0,0,34,1884,193946.85,1.4863
TD4602544,SAN DIEGO,CA,54,548,32751.76,11,74,483.23,43,474,32268.53,0.802
FO3064546,FORT WAYNE,IN,41,3036,180892.02,3,1700,28498.48,38,1336,152393.54,1.6885
QI1570997,CHICAGO,IL,26,995,86810.42,0,0,0,26,995,86810.42,2.6005
RN4851740,PORTLAND,OR,19,429,43644.64,0,0,0,19,429,43644.64,1.9688
GZ6390969,BLOOMINGTON,IN,21,173,21292.91,0,0,0,21,173,21292.91,1.3358
TZ7217655,STONY BROOK,NY,9,171,24201.23,0,0,0,9,171,24201.23,2.4404
RN1895598,WINFIELD,IL,10,78,6806.29,0,0,0,10,78,6806.29,1.3022
LD3383633,WORCESTER,MA,3,22,1875.31,0,0,0,3,22,1875.31,1.3115
RC9354246,CAMBRIDGE,MA,26,530,62135.37,0,0,0,26,530,62135.37,1.2847
ZA1960005,BALTIMORE,MD,22,195,25967.24,0,0,0,22,195,25967.24,1.2502
XA1880919,HACKENSACK,NJ,26,2284,200928.48,NA,NA,NA,NA,NA,NA,2.6949
UY5968301,AUGUSTA,GA,7,1451,116379.25,0,0,0,7,1451,116379.25,1.9935
OE2702997,IOWA CITY,IA,11,153,7974.77,0,0,0,11,153,7974.77,1.2117
PJ5649025,MIAMI,FL,7,69,11571.81,0,0,0,7,69,11571.81,1.0775
LV9098924,LEBANON,NH,9,61,5478.08,0,0,0,9,61,5478.08,1.0771
RF2220355,KATY,TX,16,421,59037.29,0,0,0,16,421,59037.29,1.9719
PL6725190,SYRACUSE,NY,8,25,2469.81,0,0,0,8,25,2469.81,1.6378
IO0740877,KINGSPORT,TN,32,6112,147676.59,2,5103,28063.96,30,1009,119612.63,1.3297
XA2968721,EL PASO,TX,26,302,28661.64,0,0,0,26,302,28661.64,1.5345
GI3320247,AMSTERDAM,NY,29,1635,166911.67,0,0,0,29,1635,166911.67,1.7662
UG1604338,TUPELO,MS,11,758,90925.21,0,0,0,11,758,90925.21,1.2117
WY4032411,CORPUS CHRISTI,TX,3,60,2793.15,0,0,0,3,60,2793.15,1.9635
OE0957523,ALEXANDRIA,LA,37,4216,418391.3,1,32,182.48,36,4184,418208.82,1.5994
SR1422659,BLAINE,MN,13,198,23293.07,NA,NA,NA,NA,NA,NA,1.3437
AP7859463,DALLAS,TX,84,6458,535532.34,7,3051,1894.47,77,3407,533637.87,1.7795
YA1096249,CORAL SPRINGS,FL,16,1024,51347.13,0,0,0,16,1024,51347.13,1.6096
CF6767536,MORGANVILLE,NJ,14,705,89947.21,0,0,0,14,705,89947.21,1.0438
SB7810818,PITTSBURGH,PA,29,39662,638762.88,4,38779,565280.01,25,883,73482.87,1.7217
XB8888777,LATHAM,NY,35,8885,125052.51,7,8146,50524.65,28,739,74527.86,1.3152
RI8319072,EVANSVILLE,IN,17,1373,122035.32,0,0,0,17,1373,122035.32,1.2858
LK0608724,STERLING HEIGHTS,MI,29,1669,154950.61,4,328,1877.54,25,1341,153073.07,1.4482
LZ0559011,LOS ANGELES,CA,11,50,7347.6,0,0,0,11,50,7347.6,1.7205
PR9641623,IRVINE,CA,10,385,68513.89,0,0,0,10,385,68513.89,1.2371
DO9111591,CLEVELAND,OH,20,456,40376.7,0,0,0,20,456,40376.7,1.3449
OP1157303,BELLEVILLE,IL,23,4320,149072.08,NA,NA,NA,NA,NA,NA,1.3361
YA2299315,TAMPA,FL,42,995,103478.27,0,0,0,42,995,103478.27,1.4097
WL2056529,SAN ANTONIO,TX,33,429,47158.66,0,0,0,33,429,47158.66,1.8447
JZ1201154,JOPLIN,MO,17,131,13118.14,0,0,0,17,131,13118.14,1.9024
GM6668747,NORFOLK,VA,16,761,89233.45,0,0,0,16,761,89233.45,1.5358
AD3147656,NEW BRITAIN,CT,23,655,74534.97,0,0,0,23,655,74534.97,1.4852
UZ9270774,WENATCHEE,WA,25,1225,71013.75,NA,NA,NA,NA,NA,NA,1.0824
GA2775453,CLEVELAND,OH,32,966,174135.41,0,0,0,32,966,174135.41,2.0543
SC0574027,HOUSTON,TX,16,2089,184969.37,0,0,0,16,2089,184969.37,3.6942
AP0728126,OCEANSIDE,CA,57,24324,376006.78,4,22222,124381.27,53,2102,251625.51,1.4433
CD3666844,CLEVELAND,OH,23,746,99390.24,0,0,0,23,746,99390.24,1.6938
MG8784733,SHREVEPORT,LA,9,76,6652.48,0,0,0,9,76,6652.48,1.1259
LA6953486,QUINCY,MA,20,1484,210060.72,0,0,0,20,1484,210060.72,1.4205
OW8396811,CHICAGO,IL,17,9154,137205.82,2,8536,46754.61,15,618,90451.21,1.4587
VI7937095,SALT LAKE CITY,UT,15,145,13459.37,0,0,0,15,145,13459.37,1.2323
IN1065826,AKRON,OH,45,2165,128519.75,NA,NA,NA,NA,NA,NA,1.6926
YK6396397,NEW YORK,NY,18,2524,287952.88,0,0,0,18,2524,287952.88,1.3423
ZL2780682,MACON,GA,46,10983,219257.75,2,9830,52504.55,44,1153,166753.2,1.4045
YP5463159,VENICE,FL,81,10398,269334.87,6,8190,44740.86,75,2208,224594.01,1.5767
OQ0321284,SUN CITY WEST,AZ,34,1748,155270.13,NA,NA,NA,NA,NA,NA,1.5091
XV6063106,CHARLOTTESVILLE,VA,25,441,54943.32,0,0,0,25,441,54943.32,1.3843
WB7842029,TRACY,CA,38,3935,184003.05,9,2705,14487.65,29,1230,169515.4,1.9209
YT9705776,SOMERSET,NJ,14,187,30165.04,0,0,0,14,187,30165.04,1.1792
WS4188481,ENGLEWOOD,CO,9,111,6848.53,0,0,0,9,111,6848.53,2.6479
IX7421791,CHICAGO,IL,8,244,38576.11,0,0,0,8,244,38576.11,1.6126
IA1321288,BURLINGTON,MA,21,964,105679.94,0,0,0,21,964,105679.94,1.582
JF9659567,DALLAS,TX,12,765,70879.79,0,0,0,12,765,70879.79,1.7605
MQ5595875,BOSTON,MA,33,345,32862.47,0,0,0,33,345,32862.47,1.9229
ZK2254596,WALNUT CREEK,CA,32,6940,180642.38,4,5943,32696.55,28,997,147945.83,1.114
LS2602239,FAIRFIELD,CT,60,8189,203452.13,13,6871,39454.94,47,1318,163997.19,1.6263
XD4793880,BOZEMAN,MT,26,807,66086.19,0,0,0,26,807,66086.19,1.2524
OI4667233,VANCOUVER,WA,13,324,40285.32,0,0,0,13,324,40285.32,2.1347
TP5704718,WORCESTER,MA,21,1048,147064.98,0,0,0,21,1048,147064.98,1.6767
MR5067001,CHARLOTTESVILLE,VA,33,1174,101343.12,NA,NA,NA,NA,NA,NA,1.3192
IA8305212,BROOKLYN,NY,29,1381,203577.97,NA,NA,NA,NA,NA,NA,2.6475
PQ5035527,COLUMBIA,SC,16,387,26215.24,0,0,0,16,387,26215.24,1.5629
LV6601676,HUDSON,OH,53,21155,286284.16,2,19502,109925.11,51,1653,176359.05,1.8479
MP6413608,PORTAGE,MI,14,505,55501.09,0,0,0,14,505,55501.09,1.2619
EJ9558447,LA JOLLA,CA,35,10603,246398.93,3,9646,54267.22,32,957,192131.71,1.1622
FC0550903,FULTON,MD,31,40262,913668.84,7,38277,716319.06,24,1985,197349.78,1.4116
PS6867835,FORT MYERS,FL,39,361,27515.89,NA,NA,NA,NA,NA,NA,1.5696
UU0965794,JACKSONVILLE,FL,22,764,63891.21,0,0,0,22,764,63891.21,1.6203
AD2366546,PEABODY,MA,33,9257,227847.34,1,7800,42859.9,32,1457,184987.44,1.5658
AX6000479,LAS VEGAS,NV,20,299,51622.42,0,0,0,20,299,51622.42,1.8868
WL1709470,FARMINGTON HILLS,MI,27,1932,209542.36,NA,NA,NA,NA,NA,NA,2.1169
MY0868322,LA JOLLA,CA,29,21722,213072.15,3,21008,115430.38,26,714,97641.77,1.155
LX8447375,WILLIAMSBURG,VA,53,4677,235497.29,NA,NA,NA,NA,NA,NA,1.3366
GY0644201,SARASOTA,FL,66,3629,289432.73,NA,NA,NA,NA,NA,NA,1.568
XH9869740,MARYVILLE,TN,30,1503,76001.66,NA,NA,NA,NA,NA,NA,1.4201
UL7511135,EAU CLAIRE,WI,28,1099,75001.11,NA,NA,NA,NA,NA,NA,1.317
US3646260,MINNEAPOLIS,MN,24,1520,35877.93,NA,NA,NA,NA,NA,NA,2.9258
EX4746858,JACKSON,MS,22,972,101393.63,0,0,0,22,972,101393.63,1.5922
SC0301524,PHOENIX,AZ,24,607,55964.89,0,0,0,24,607,55964.89,1.4322
EG6000957,YOUNGSTOWN,OH,23,1135,136324.7,0,0,0,23,1135,136324.7,1.8769
TC5884251,MESA,AZ,9,81,9505.64,0,0,0,9,81,9505.64,1.3436
BH5557841,HUNT VALLEY,MD,16,2884,113920.63,0,0,0,16,2884,113920.63,1.2075
DR3467354,NASHVILLE,TN,28,335,29236.64,0,0,0,28,335,29236.64,1.7183
UT6252415,GENEVA,IL,23,2061,230364.9,0,0,0,23,2061,230364.9,1.3889
YQ7028495,NASHVILLE,TN,13,395,14025.99,0,0,0,13,395,14025.99,1.0885
HA6896870,FRANKLIN,TN,55,19156,157070.29,10,18384,75832.17,45,772,81238.12,1.3477
SW0422027,INDIANAPOLIS,IN,20,1016,137168.59,NA,NA,NA,NA,NA,NA,1.1957
KI7495849,KINGSPORT,TN,34,7790,213566.92,3,6279,34650.18,31,1511,178916.74,1.3266
BI9889593,GREAT NECK,NY,3,15,1718.76,0,0,0,3,15,1718.76,1.2623
QZ9712798,SAN ANTONIO,TX,12,1436,166842.57,0,0,0,12,1436,166842.57,2.3583
DF0956871,PORT ST LUCIE,FL,30,1823,265816.75,0,0,0,30,1823,265816.75,1.5221
WM0431801,ALISO VIEJO,CA,53,61670,1147680.02,4,55132,298770.61,49,6538,848909.41,1.5213
GJ2955999,SALT LAKE CITY,UT,9,194,22938.78,0,0,0,9,194,22938.78,1.1265
KI7552790,LOVELAND,CO,28,703,60886.53,4,69,165.25,24,634,60721.28,1.2495
YY3136374,NEW YORK,NY,21,423,42139.98,0,0,0,21,423,42139.98,1.9841
SS5267731,OLD BRIDGE,NJ,27,4785,195402.5,2,3440,18787.28,25,1345,176615.22,1.6042
ZF6620180,HONOLULU,HI,10,44,3800.1,0,0,0,10,44,3800.1,1.305
JG6314065,OKLAHOMA CITY,OK,28,3008,193385.54,NA,NA,NA,NA,NA,NA,2.3586
DR1487579,CLEVELAND,OH,6,133,10613.01,0,0,0,6,133,10613.01,2.2493
ME5887333,CHICAGO,IL,6,42,4984.12,0,0,0,6,42,4984.12,1.1674
AD9721169,PHILADELPHIA,PA,5,82,6250.79,0,0,0,5,82,6250.79,2.4249
HQ7818342,GAINESVILLE,FL,11,153,17363.98,0,0,0,11,153,17363.98,1.8846
SO5455167,EVANSTON,IL,6,410,54004.34,0,0,0,6,410,54004.34,1.2497
SI2218249,BRUNSWICK,ME,44,1626,154359.31,0,0,0,44,1626,154359.31,1.2913
FG6683246,HAMPTON,VA,38,1092,109322.83,0,0,0,38,1092,109322.83,1.8256
QH9800943,DURHAM,NC,3,31,3706.71,0,0,0,3,31,3706.71,1.5707
ZT4006307,CHAPEL HILL,NC,18,636,80014.73,0,0,0,18,636,80014.73,1.2292
FG8227267,BIRMINGHAM,AL,14,337,55346.83,0,0,0,14,337,55346.83,1.7387
FA1238782,BANGOR,ME,26,666,65534.6,0,0,0,26,666,65534.6,1.5458
WS4391014,GURNEE,IL,11,168,26178.45,0,0,0,11,168,26178.45,2.0417
PV2820467,LOS ANGELES,CA,12,172,15195.1,0,0,0,12,172,15195.1,2.1983
SB0298151,GAINESVILLE,FL,17,462,74927.02,0,0,0,17,462,74927.02,2.2781
TG0090447,MOBILE,AL,35,364,49140.88,NA,NA,NA,NA,NA,NA,1.5217
CY3533788,TIFTON,GA,19,750,72146.48,NA,NA,NA,NA,NA,NA,1.5533
KV2460417,PEORIA,IL,5,151,11566.39,0,0,0,5,151,11566.39,1.0975
VU7732345,FARGO,ND,49,851,62853.62,0,0,0,49,851,62853.62,1.3698
PH1345130,SAINT LOUIS,MO,21,584,85115.8,0,0,0,21,584,85115.8,1.9381
UJ8572807,PHILADELPHIA,PA,18,388,49634.92,0,0,0,18,388,49634.92,2.3556
JH3692537,BLUE BELL,PA,10,194,32257.19,0,0,0,10,194,32257.19,1.5258
WM9019288,OKLAHOMA CITY,OK,42,4439,133661.54,NA,NA,NA,NA,NA,NA,1.398
LK1930979,NAPLES,FL,15,203,25912.71,0,0,0,15,203,25912.71,1.4844
VV0487209,PROVIDENCE,RI,10,312,53663.99,0,0,0,10,312,53663.99,1.3038
TK4566014,ROCHESTER,NY,10,197,13831.82,0,0,0,10,197,13831.82,2.3541
JL3513496,CHICAGO,IL,25,805,59272.15,0,0,0,25,805,59272.15,2.1591
GN5427330,HOUSTON,TX,18,198,17782.79,0,0,0,18,198,17782.79,1.682
TI5470052,MCCOMB,MS,29,1580,141713.34,1,69,149.76,28,1511,141563.58,1.603
QW8879559,BOSTON,MA,6,100,8569.57,0,0,0,6,100,8569.57,1.0881
CF9094837,CLEARWATER,FL,24,464,40409.05,0,0,0,24,464,40409.05,1.5748
KP8249433,COLUMBUS,OH,36,21335,227651.21,6,20582,138125.28,30,753,89525.93,1.6168
MT5988302,SKOKIE,IL,12,716,96020.56,0,0,0,12,716,96020.56,1.5901
FF6592054,LOS ANGELES,CA,45,429,70862.5,0,0,0,45,429,70862.5,1.1078
TM6752979,BALTIMORE,MD,10,203,17018.07,0,0,0,10,203,17018.07,2.1075
FI5263653,FAIRFIELD,CA,9,209,31626.44,0,0,0,9,209,31626.44,1.7215
YZ6223299,SPOKANE,WA,15,270,34846.56,0,0,0,15,270,34846.56,1.6526
XP5509593,RICHLAND,WA,26,1115,117460.63,0,0,0,26,1115,117460.63,1.7294
HA5620709,COLUMBIA,SC,77,7328,521544.55,11,580,4243.26,66,6748,517301.29,1.5408
RN8605911,NEW YORK,NY,21,1451,188951.78,NA,NA,NA,NA,NA,NA,2.0331
EX0611897,DANVILLE,IL,24,918,83553.89,2,30,189.47,22,888,83364.42,1.6781
KQ9280977,SOUTH ELGIN,IL,37,424,45832.23,0,0,0,37,424,45832.23,1.9796
EY3561941,WINSTON SALEM,NC,17,427,39998.51,0,0,0,17,427,39998.51,1.5105
JP6110946,BALTIMORE,MD,13,121,8046.78,0,0,0,13,121,8046.78,1.7833
JZ1214542,STONY BROOK,NY,16,261,19803.65,0,0,0,16,261,19803.65,1.7546
EK0681222,LONGVIEW,TX,110,4239,181989.48,NA,NA,NA,NA,NA,NA,1.5845
PG2578544,SPRINGFIELD,MA,27,639,60889.21,0,0,0,27,639,60889.21,1.4212
CE8268206,OMAHA,NE,19,181,18201.92,0,0,0,19,181,18201.92,1.3743
RC1812514,CONYERS,GA,40,3419,152235.57,7,2415,12704.08,33,1004,139531.49,1.7032
