doc_id,nppes_provider_city,nppes_provider_state,number_of_hcpcs,total_services,total_medicare_allowed_amt,number_of_drug_hcpcs,total_drug_services,total_drug_medicare_allowed_amt,number_of_med_hcpcs,total_med_services,total_med_medicare_allowed_amt,beneficiary_average_risk_score
LT6867440,BIRMINGHAM,AL,28,3186,121835.87,NA,NA,NA,NA,NA,NA,1.5572
VJ6970385,CLEVELAND,OH,22,476,37539.04,0,0,0,22,476,37539.04,1.4577
XE1685227,CLEVELAND,OH,8,177,16370.11,0,0,0,8,177,16370.11,1.2131
BZ8992909,CLEVELAND,OH,7,250,19677.12,0,0,0,7,250,19677.12,2.3546
LL4389985,DETROIT,MI,20,409,44624.24,0,0,0,20,409,44624.24,2.8669
PN2283145,KANSAS CITY,MO,16,474,44221.6,0,0,0,16,474,44221.6,1.2625
KZ8473804,BOSTON,MA,5,31,4142.97,0,0,0,5,31,4142.97,1.0516
OR8578597,LOS ANGELES,CA,8,320,33387.41,0,0,0,8,320,33387.41,1.7227
IR6128494,HIGH POINT,NC,35,2584,230736.56,NA,NA,NA,NA,NA,NA,1.6584
SW1336995,ABINGTON,PA,32,310,59481.44,0,0,0,32,310,59481.44,1.6373
GJ6155309,KALISPELL,MT,12,199,19996.68,0,0,0,12,199,19996.68,1.3612
FG5389332,HOUSTON,TX,17,394,36570.81,0,0,0,17,394,36570.81,1.5003
XO8058979,HERSHEY,PA,24,314,31055.06,0,0,0,24,314,31055.06,1.3332
ET9410454,WILKES BARRE,PA,7,140,11665.46,0,0,0,7,140,11665.46,1.4248
DY7864241,VOORHEES,NJ,38,3034,98607.28,3,2313,12685.77,35,721,85921.51,1.8254
VV7504098,LOUISVILLE,KY,29,700,100022.58,0,0,0,29,700,100022.58,2.0069
QG9237904,TEMPLE,TX,42,1185,125073.27,0,0,0,42,1185,125073.27,1.3393
AH3363874,PEABODY,MA,37,13032,272827.33,1,11900,65452.1,36,1132,207375.23,1.4529
EH2630239,CLINTON TOWNSHIP,MI,20,762,144297.84,0,0,0,20,762,144297.84,1.4979
XT8137004,ROSEBURG,OR,42,3234.5,119845.26,3,2240.5,11901.3,39,994,107943.96,1.2365
WX7457584,LYNBROOK,NY,54,3878.5,592609.96,1,636,1253.1,53,3242.5,591356.86,1.7571
ID7941357,MARGATE,FL,16,638,94835.53,0,0,0,16,638,94835.53,1.4514
MI0606538,LANCASTER,CA,41,2446,298689.91,4,28,116.97,37,2418,298572.94,1.8504
DN9285243,BELMONT,MA,5,33,3022.8,0,0,0,5,33,3022.8,1.6006
HP8399463,CHARLOTTESVILLE,VA,28,854,101003.87,0,0,0,28,854,101003.87,1.2972
WC1314314,SACRAMENTO,CA,18,184,16383.21,0,0,0,18,184,16383.21,1.8074
QO3809148,BLOOMFIELD HILLS,MI,40,3663,419487.19,NA,NA,NA,NA,NA,NA,2.1365
